time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
340,9.14,0.00,0.00,inf,50.00,516.19,-1971.67,2021.67,-1017750.90
341,9.14,0.00,0.00,inf,50.00,516.19,-1108.00,1158.00,-571936.43
342,9.14,0.00,0.00,inf,50.00,516.19,-3408.00,3458.00,-1759169.10
343,9.14,0.00,0.00,inf,50.00,516.19,-2567.00,2617.00,-1325054.90
344,9.14,0.00,0.00,inf,50.00,516.19,-1474.33,1524.33,-761033.35
345,9.14,0.00,0.00,inf,50.00,516.19,-1973.00,2023.00,-1018439.15
346,9.14,0.00,0.00,inf,50.00,511.65,-2860.67,2910.67,-1463666.37
347,9.14,0.00,0.00,inf,50.00,511.65,-1521.33,1571.33,-778393.54
348,9.14,0.00,0.00,inf,50.00,511.65,-1930.00,1980.00,-987488.73
349,9.14,0.00,0.00,inf,50.00,511.65,-1846.00,1896.00,-944509.95
350,9.14,0.00,0.00,inf,50.00,511.65,-1988.67,2038.67,-1017505.66
351,9.14,0.00,0.00,inf,50.00,511.65,-3850.33,3900.33,-1970031.50
352,9.14,0.00,0.00,inf,50.00,511.65,-1505.00,1555.00,-770036.55
353,9.14,0.00,0.00,inf,50.00,511.65,-2016.33,2066.33,-1031661.37
354,9.14,0.00,0.00,inf,50.00,511.65,-1160.33,1210.33,-593687.10
355,9.14,0.00,0.00,inf,50.00,511.65,-1607.67,1657.67,-822566.18
356,9.14,0.00,0.00,inf,50.00,511.65,-1263.67,1313.67,-646557.82
357,9.14,0.00,0.00,inf,50.00,511.65,-1503.33,1553.33,-769183.80
358,9.14,0.00,0.00,inf,50.00,511.65,-1130.67,1180.67,-578508.08
359,9.14,0.00,0.00,inf,50.00,511.65,-2137.33,2187.33,-1093571.29
360,9.14,0.00,0.00,inf,50.00,511.65,-1757.33,1807.33,-899143.45
361,9.14,0.00,0.00,inf,50.00,533.88,-1875.67,1925.67,-1001377.58
362,9.14,0.00,0.00,inf,50.00,533.88,-1604.67,1654.67,-856696.58
363,9.14,0.00,0.00,inf,50.00,533.88,-1326.67,1376.67,-708278.44
364,9.14,0.00,0.00,inf,50.00,533.88,-1987.00,2037.00,-1060816.02
365,9.14,0.00,0.00,inf,50.00,533.88,-1119.67,1169.67,-597765.65
366,9.14,0.00,0.00,inf,50.00,533.88,-1767.33,1817.33,-943540.77
367,9.14,0.00,0.00,inf,50.00,533.88,-1157.67,1207.67,-618053.02
368,9.14,0.00,0.00,inf,50.00,533.88,-1982.67,2032.67,-1058502.55
369,9.14,0.00,0.00,inf,50.00,533.88,-1324.33,1374.33,-707032.72
370,9.14,0.00,0.00,inf,50.00,533.88,-2025.00,2075.00,-1081103.39
371,9.14,0.00,0.00,inf,50.00,533.88,-1722.33,1772.33,-919516.25
372,9.14,0.00,0.00,inf,50.00,533.88,-2069.00,2119.00,-1104594.04
373,9.14,0.00,0.00,inf,50.00,533.88,-1486.67,1536.67,-793698.95
374,9.14,0.00,0.00,inf,50.00,533.88,-1798.67,1848.67,-960268.96
375,9.14,0.00,0.00,inf,50.00,533.88,-2069.33,2119.33,-1104772.00
376,9.14,0.00,0.00,inf,50.00,508.48,-2041.00,2091.00,-1037801.65
377,9.14,0.00,0.00,inf,50.00,508.48,-2263.00,2313.00,-1150683.56
378,9.14,0.00,0.00,inf,50.00,508.48,-1422.67,1472.67,-723393.35
379,9.14,0.00,0.00,inf,50.00,508.48,-1373.00,1423.00,-698138.99
380,9.14,0.00,0.00,inf,50.00,508.48,-1523.67,1573.67,-774749.53
381,9.14,0.00,0.00,inf,50.00,508.48,-1575.00,1625.00,-800851.35
382,9.14,0.00,0.00,inf,50.00,508.48,-1890.67,1940.67,-961360.60
383,9.14,0.00,0.00,inf,50.00,508.48,-1410.67,1460.67,-717291.62
384,9.14,0.00,0.00,inf,50.00,508.48,-1253.33,1303.33,-637291.23
