0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
259,36000.00,0.00,0.00,inf,0.00,526.62,-109.00,109.00,-57401.66
260,36000.00,0.00,0.00,inf,0.00,526.62,-367.67,367.67,-193620.89
261,36000.00,0.00,0.00,inf,0.00,526.62,-153.33,153.33,-80748.51
262,36000.00,0.00,0.00,inf,0.00,526.62,-341.00,341.00,-179577.67
263,36000.00,0.00,0.00,inf,0.00,526.62,-398.00,398.00,-209595.06
264,36000.00,0.00,0.00,inf,0.00,526.62,-289.00,289.00,-152193.39
265,36000.00,0.00,0.00,inf,0.00,526.62,-109.00,109.00,-57401.66
266,36000.00,0.00,0.00,inf,0.00,526.62,-367.67,367.67,-193620.89
267,36000.00,0.00,0.00,inf,0.00,526.62,-426.33,426.33,-224515.98
268,36000.00,0.00,0.00,inf,0.00,526.62,-295.00,295.00,-155353.12
269,36000.00,0.00,0.00,inf,0.00,526.62,-370.33,370.33,-195025.21
270,36000.00,0.00,0.00,inf,0.00,526.62,-320.00,320.00,-168518.64
271,36000.00,0.00,0.00,inf,0.00,526.62,-497.00,497.00,-261730.51
272,36000.00,0.00,0.00,inf,0.00,522.54,-414.00,414.00,-216330.90
273,36000.00,0.00,0.00,inf,0.00,522.54,-550.00,550.00,-287396.13
274,36000.00,0.00,0.00,inf,0.00,522.54,-341.00,341.00,-178185.60
275,36000.00,0.00,0.00,inf,0.00,522.54,-398.00,398.00,-207970.29
276,36000.00,0.00,0.00,inf,0.00,522.54,-489.00,489.00,-255521.28
277,36000.00,0.00,0.00,inf,0.00,522.54,-109.00,109.00,-56956.69
278,36000.00,0.00,0.00,inf,0.00,522.54,-367.67,367.67,-192119.96
279,36000.00,0.00,0.00,inf,0.00,522.54,-153.33,153.33,-80122.56
280,36000.00,0.00,0.00,inf,0.00,522.54,-109.00,109.00,-56956.69
281,36000.00,0.00,0.00,inf,0.00,522.54,-367.67,367.67,-192119.96
282,36000.00,0.00,0.00,inf,0.00,522.54,-153.33,153.33,-80122.56
283,36000.00,0.00,0.00,inf,0.00,522.54,-341.00,341.00,-178185.60
284,36000.00,0.00,0.00,inf,0.00,522.54,-497.00,497.00,-259701.59
285,36000.00,0.00,0.00,inf,0.00,522.54,-320.00,320.00,-167212.29
286,36000.00,0.00,0.00,inf,0.00,522.54,-497.00,497.00,-259701.59
287,36000.00,0.00,0.00,inf,0.00,540.68,-414.00,414.00,-223842.39
288,36000.00,0.00,0.00,inf,0.00,540.68,-250.00,250.00,-135170.53
289,36000.00,0.00,0.00,inf,0.00,540.68,-341.00,341.00,-184372.60
290,36000.00,0.00,0.00,inf,0.00,540.68,-398.00,398.00,-215191.48
291,36000.00,0.00,0.00,inf,0.00,540.68,-489.00,489.00,-264393.55
292,36000.00,0.00,0.00,inf,0.00,540.68,-109.00,109.00,-58934.35
293,36000.00,0.00,0.00,inf,0.00,540.68,-341.00,341.00,-184372.60
294,36000.00,0.00,0.00,inf,0.00,540.68,-398.00,398.00,-215191.48
295,36000.00,0.00,0.00,inf,0.00,540.68,-489.00,489.00,-264393.55
296,36000.00,0.00,0.00,inf,0.00,540.68,-109.00,109.00,-58934.35
297,36000.00,0.00,0.00,inf,0.00,540.68,-153.33,153.33,-82904.59
298,36000.00,0.00,0.00,inf,0.00,540.68,-320.00,320.00,-173018.27
299,36000.00,0.00,0.00,inf,0.00,540.68,-109.00,109.00,-58934.35
300,36000.00,0.00,0.00,inf,0.00,540.68,-153.33,153.33,-82904.59
