location,time,rating
australiacentral,2022-10-13 20:30:00,832.79559132
australiacentral,2022-10-13 20:45:00,816.91985837
australiacentral,2022-10-13 21:00:00,822.81655918
australiacentral,2022-10-13 21:15:00,813.74471178
australiacentral,2022-10-13 21:30:00,641.37961118
australiacentral,2022-10-13 21:45:00,654.53378991
australiacentral,2022-10-13 22:00:00,663.15204494
australiacentral,2022-10-13 22:15:00,608.26736817
australiacentral,2022-10-13 22:30:00,635.93650274
australiacentral,2022-10-13 22:45:00,647.7299043600001
australiacentral,2022-10-13 23:00:00,910.81347896
australiacentral,2022-10-13 23:15:00,865.45424196
australiacentral,2022-10-13 23:30:00,910.81347896
australiacentral,2022-10-13 23:45:00,910.81347896
australiacentral,2022-10-14 00:00:00,910.81347896
australiacentral,2022-10-14 00:15:00,886.7730833500001
australiacentral,2022-10-14 00:30:00,887.68026809
australiacentral,2022-10-14 00:45:00,910.81347896
australiacentral,2022-10-14 01:00:00,910.81347896
australiacentral,2022-10-14 01:15:00,910.81347896
australiacentral,2022-10-14 01:30:00,910.81347896
australiacentral,2022-10-14 01:45:00,514.82733995
australiacentral,2022-10-14 02:00:00,661.33767546
australiacentral,2022-10-14 02:15:00,661.33767546
australiacentral,2022-10-14 02:30:00,363.78108074
australiacentral,2022-10-14 02:45:00,661.33767546
australiacentral,2022-10-14 03:00:00,661.33767546
australiacentral,2022-10-14 03:15:00,661.33767546
australiacentral,2022-10-14 03:30:00,661.33767546
australiacentral,2022-10-14 03:45:00,655.44097465
australiacentral,2022-10-14 04:00:00,661.33767546
australiacentral,2022-10-14 04:15:00,889.49463757
australiacentral,2022-10-14 04:30:00,890.4018223100001
australiacentral,2022-10-14 04:45:00,848.67132427
australiacentral,2022-10-14 05:00:00,621.8751392700001
australiacentral,2022-10-14 05:15:00,641.37961118
australiacentral,2022-10-14 05:30:00,631.85417141
australiacentral,2022-10-14 05:45:00,631.85417141
australiacentral,2022-10-14 06:00:00,625.05028586
australiacentral,2022-10-14 06:15:00,649.99786621
australiacentral,2022-10-14 06:30:00,649.99786621
australiacentral,2022-10-14 06:45:00,614.16406898
australiacentral,2022-10-14 07:00:00,744.3450791700001
australiacentral,2022-10-14 07:15:00,830.5276294700001
australiacentral,2022-10-14 07:30:00,816.01267363
australiacentral,2022-10-14 07:45:00,815.55908126
australiacentral,2022-10-14 08:00:00,812.38393467
australiacentral,2022-10-14 08:15:00,809.2087880800001
