0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
101,0.30,10.00,0.00,inf,500.00,536.60,-1373.67,1883.67,-737109.22
102,0.30,10.00,0.00,inf,500.00,536.60,-1373.67,1883.67,-737109.22
103,0.30,10.00,0.00,inf,500.00,536.60,-470.67,980.67,-252559.63
104,0.30,10.00,0.00,inf,500.00,536.60,-367.00,877.00,-196932.12
105,0.30,10.00,0.00,inf,500.00,536.60,-1320.67,1830.67,-708669.43
106,0.30,10.00,0.00,inf,500.00,522.08,-1156.67,1666.67,-603878.11
107,0.30,10.00,0.00,inf,500.00,522.08,-1193.67,1703.67,-623195.24
108,0.30,10.00,0.00,inf,500.00,522.08,-1401.67,1911.67,-731788.89
109,0.30,10.00,0.00,inf,500.00,522.08,-964.00,1474.00,-503289.76
110,0.30,10.00,0.00,inf,500.00,522.08,-770.00,1280.00,-402005.31
111,0.30,10.00,0.00,inf,500.00,522.08,-947.00,1457.00,-494414.32
112,0.30,10.00,0.00,inf,500.00,522.08,-880.67,1390.67,-459782.70
113,0.30,10.00,0.00,inf,500.00,522.08,-2515.33,3025.33,-1313217.35
114,0.30,10.00,0.00,inf,500.00,522.08,-758.00,1268.00,-395740.29
115,0.30,10.00,0.00,inf,500.00,522.08,-1398.00,1908.00,-729874.58
116,0.30,10.00,0.00,inf,500.00,522.08,-1495.00,2005.00,-780516.80
117,0.30,10.00,0.00,inf,500.00,522.08,-1470.00,1980.00,-767464.68
118,0.30,10.00,0.00,inf,500.00,522.08,-2554.67,3064.67,-1333752.68
119,0.30,10.00,0.00,inf,500.00,522.08,-1321.33,1831.33,-689848.07
120,0.30,10.00,0.00,inf,500.00,522.08,-1354.33,1864.33,-707076.87
121,0.30,10.00,0.00,inf,500.00,513.01,-2042.33,2552.33,-1047743.49
122,0.30,10.00,0.00,inf,500.00,513.01,-1188.33,1698.33,-609630.41
123,0.30,10.00,0.00,inf,500.00,513.01,-1551.67,2061.67,-796025.13
124,0.30,10.00,0.00,inf,500.00,513.01,-1189.67,1699.67,-610314.43
125,0.30,10.00,0.00,inf,500.00,513.01,-1326.67,1836.67,-680597.21
126,0.30,10.00,0.00,inf,500.00,513.01,-1535.33,2045.33,-787645.91
127,0.30,10.00,0.00,inf,500.00,513.01,-2072.00,2582.00,-1062962.87
128,0.30,10.00,0.00,inf,500.00,513.01,-1551.67,2061.67,-796025.13
129,0.30,10.00,0.00,inf,500.00,513.01,-2711.00,3221.00,-1390778.16
130,0.30,10.00,0.00,inf,500.00,513.01,-1364.33,1874.33,-699920.70
131,0.30,10.00,0.00,inf,500.00,513.01,-1266.67,1776.67,-649816.43
132,0.30,10.00,0.00,inf,500.00,513.01,-1360.33,1870.33,-697868.64
133,0.30,10.00,0.00,inf,500.00,513.01,-2659.00,3169.00,-1364101.49
134,0.30,10.00,0.00,inf,500.00,513.01,-1337.67,1847.67,-686240.35
135,0.30,10.00,0.00,inf,500.00,513.01,-1294.00,1804.00,-663838.78
136,0.30,10.00,0.00,inf,500.00,528.89,-2451.00,2961.00,-1296306.21
137,0.30,10.00,0.00,inf,500.00,528.89,-1495.67,2005.67,-791041.20
138,0.30,10.00,0.00,inf,500.00,528.89,-2051.00,2561.00,-1084750.73
139,0.30,10.00,0.00,inf,500.00,528.89,-4274.67,4784.67,-2260822.91
140,0.30,10.00,0.00,inf,500.00,528.89,-1716.00,2226.00,-907573.02
141,0.30,10.00,0.00,inf,500.00,528.89,-4192.33,4702.33,-2217277.74
142,0.30,10.00,0.00,inf,500.00,528.89,-1289.00,1799.00,-681737.54
143,0.30,10.00,0.00,inf,500.00,528.89,-3233.33,3743.33,-1710073.47
144,0.30,10.00,0.00,inf,500.00,528.89,-1940.00,2450.00,-1026044.08
145,0.30,10.00,0.00,inf,500.00,528.89,-2530.00,3040.00,-1338088.42
146,0.30,10.00,0.00,inf,500.00,528.89,-3201.00,3711.00,-1692972.74
147,0.30,10.00,0.00,inf,500.00,528.89,-4245.00,4755.00,-2245132.55
148,0.30,10.00,0.00,inf,500.00,528.89,-2035.33,2545.33,-1076464.81
149,0.30,10.00,0.00,inf,500.00,528.89,-1374.33,1884.33,-726869.37
150,0.30,10.00,0.00,inf,500.00,528.89,-4170.00,4680.00,-2205465.89
151,0.30,10.00,0.00,inf,500.00,523.45,-2796.00,3306.00,-1463553.88
152,0.30,10.00,0.00,inf,500.00,523.45,-1400.67,1910.67,-733172.80
153,0.30,10.00,0.00,inf,500.00,523.45,-4599.00,5109.00,-2407326.29
154,0.30,10.00,0.00,inf,500.00,523.45,-2802.00,3312.00,-1466694.56
155,0.30,10.00,0.00,inf,500.00,523.45,-4176.33,4686.33,-2186083.29
156,0.30,10.00,0.00,inf,500.00,523.45,-2995.33,3505.33,-1567894.04
157,0.30,10.00,0.00,inf,500.00,523.45,-2484.00,2994.00,-1300238.86
158,0.30,10.00,0.00,inf,500.00,523.45,-1141.67,1651.67,-597600.39
159,0.30,10.00,0.00,inf,500.00,523.45,-1701.67,2211.67,-890729.92
160,0.30,10.00,0.00,inf,500.00,523.45,-3144.33,3654.33,-1645887.43
161,0.30,10.00,0.00,inf,500.00,523.45,-3305.33,3815.33,-1730162.17
162,0.30,10.00,0.00,inf,500.00,523.45,-4378.67,4888.67,-2291993.78
163,0.30,10.00,0.00,inf,500.00,523.45,-1428.00,1938.00,-747480.31
164,0.30,10.00,0.00,inf,500.00,523.45,-2428.67,2938.67,-1271274.87
165,0.30,10.00,0.00,inf,500.00,523.45,-3206.67,3716.67,-1678515.54
166,0.30,10.00,0.00,inf,500.00,526.62,-1991.00,2501.00,-1048501.90
167,0.30,10.00,0.00,inf,500.00,526.62,-4188.00,4698.00,-2205487.67
168,0.30,10.00,0.00,inf,500.00,526.62,-5512.67,6022.67,-2903084.61
169,0.30,10.00,0.00,inf,500.00,526.62,-6271.00,6781.00,-3302438.67
170,0.30,10.00,0.00,inf,500.00,526.62,-5729.67,6239.67,-3017361.31
171,0.30,10.00,0.00,inf,500.00,526.62,-2639.67,3149.67,-1390103.22
172,0.30,10.00,0.00,inf,500.00,526.62,-3442.33,3952.33,-1812804.13
173,0.30,10.00,0.00,inf,500.00,526.62,-3161.00,3671.00,-1664648.16
174,0.30,10.00,0.00,inf,500.00,526.62,-4175.33,4685.33,-2198817.14
175,0.30,10.00,0.00,inf,500.00,526.62,-2731.33,3241.33,-1438376.79
176,0.30,10.00,0.00,inf,500.00,526.62,-3209.33,3719.33,-1690101.50
177,0.30,10.00,0.00,inf,500.00,526.62,-4490.33,5000.33,-2364702.67
178,0.30,10.00,0.00,inf,500.00,526.62,-4171.67,4681.67,-2196886.19
179,0.30,10.00,0.00,inf,500.00,526.62,-3281.33,3791.33,-1728018.19
180,0.30,10.00,0.00,inf,500.00,526.62,-5279.00,5789.00,-2780030.89
181,0.30,10.00,0.00,inf,500.00,520.27,-4632.33,5142.33,-2410066.14
182,0.30,10.00,0.00,inf,500.00,520.27,-6289.67,6799.67,-3272327.70
183,0.30,10.00,0.00,inf,500.00,520.27,-4872.67,5382.67,-2535104.47
184,0.30,10.00,0.00,inf,500.00,520.27,-4980.33,5490.33,-2591120.26
185,0.30,10.00,0.00,inf,500.00,520.27,-4177.33,4687.33,-2173343.09
186,0.30,10.00,0.00,inf,500.00,520.27,-5512.67,6022.67,-2868077.56
187,0.30,10.00,0.00,inf,500.00,520.27,-6323.00,6833.00,-3289670.05
188,0.30,10.00,0.00,inf,500.00,520.27,-4730.00,5240.00,-2460879.22
189,0.30,10.00,0.00,inf,500.00,520.27,-2258.33,2768.33,-1174944.10
190,0.30,10.00,0.00,inf,500.00,520.27,-4690.67,5200.67,-2440415.25
191,0.30,10.00,0.00,inf,500.00,520.27,-2387.67,2897.67,-1242232.41
192,0.30,10.00,0.00,inf,500.00,520.27,-1444.33,1954.33,-751443.95
193,0.30,10.00,0.00,inf,500.00,520.27,-5831.33,6341.33,-3033870.41
194,0.30,10.00,0.00,inf,500.00,520.27,-4727.00,5237.00,-2459318.41
195,0.30,10.00,0.00,inf,500.00,520.27,-4663.33,5173.33,-2426194.52
196,0.30,10.00,0.00,inf,500.00,521.63,-2295.33,2805.33,-1197317.54
197,0.30,10.00,0.00,inf,500.00,521.63,-4550.67,5060.67,-2373769.83
198,0.30,10.00,0.00,inf,500.00,521.63,-6129.00,6639.00,-3197077.78
