PV
Date,P # [W]
2014-01-01 14:09:49, -1280.0
2014-01-01 14:09:50, -1457.0
2014-01-01 14:09:51, -1390.66666667
2014-01-01 14:09:52, -3025.33333333
2014-01-01 14:09:53, -1268.0
2014-01-01 14:09:54, -1908.0
2014-01-01 14:09:55, -2005.0
2014-01-01 14:09:56, -1980.0
2014-01-01 14:09:57, -3064.66666667
2014-01-01 14:09:58, -1831.33333333
2014-01-01 14:09:59, -1864.33333333
2014-01-01 14:10:00, -2552.33333333
2014-01-01 14:10:01, -1698.33333333
2014-01-01 14:10:02, -2061.66666667
2014-01-01 14:10:03, -1699.66666667
2014-01-01 14:10:04, -1836.66666667
2014-01-01 14:10:05, -2045.33333333
2014-01-01 14:10:06, -2582.0
2014-01-01 14:10:07, -2061.66666667
2014-01-01 14:10:08, -3221.0
2014-01-01 14:10:09, -1874.33333333
2014-01-01 14:10:10, -1776.66666667
2014-01-01 14:10:11, -1870.33333333
2014-01-01 14:10:12, -3169.0
2014-01-01 14:10:13, -1847.66666667
2014-01-01 14:10:14, -1804.0
2014-01-01 14:10:15, -2961.0
2014-01-01 14:10:16, -2005.66666667
2014-01-01 14:10:17, -2561.0
2014-01-01 14:10:18, -4784.66666667
2014-01-01 14:10:19, -2226.0
2014-01-01 14:10:20, -4702.33333333
2014-01-01 14:10:21, -1799.0
2014-01-01 14:10:22, -3743.33333333
2014-01-01 14:10:23, -2450.0
2014-01-01 14:10:24, -3040.0
2014-01-01 14:10:25, -3711.0
2014-01-01 14:10:26, -4755.0
2014-01-01 14:10:27, -2545.33333333
2014-01-01 14:10:28, -1884.33333333
2014-01-01 14:10:29, -4680.0
2014-01-01 14:10:30, -3306.0
2014-01-01 14:10:31, -1910.66666667
2014-01-01 14:10:32, -5109.0
2014-01-01 14:10:33, -3312.0
2014-01-01 14:10:34, -4686.33333333
2014-01-01 14:10:35, -3505.33333333
2014-01-01 14:10:36, -2994.0
2014-01-01 14:10:37, -1651.66666667
2014-01-01 14:10:38, -2211.66666667
2014-01-01 14:10:39, -3654.33333333
2014-01-01 14:10:40, -3815.33333333
2014-01-01 14:10:41, -4888.66666667
2014-01-01 14:10:42, -1938.0
2014-01-01 14:10:43, -2938.66666667
2014-01-01 14:10:44, -3716.66666667
2014-01-01 14:10:45, -2501.0
2014-01-01 14:10:46, -4698.0
2014-01-01 14:10:47, -6022.66666667
