0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
125,0.03,5.00,0.00,inf,500.00,513.01,-229.67,734.67,-117821.98
126,0.03,5.00,0.00,inf,500.00,513.01,-313.13,818.13,-160641.46
127,0.03,5.00,0.00,inf,500.00,513.01,-527.80,1032.80,-270768.25
128,0.03,5.00,0.00,inf,500.00,513.01,-319.67,824.67,-163993.15
129,0.04,5.00,0.00,inf,500.00,513.01,-783.40,1288.40,-401894.36
130,0.04,5.00,0.00,inf,500.00,513.01,-244.73,749.73,-125551.37
131,0.04,5.00,0.00,inf,500.00,513.01,-205.67,710.67,-105509.67
132,0.04,5.00,0.00,inf,500.00,513.01,-243.13,748.13,-124730.55
133,0.04,5.00,0.00,inf,500.00,513.01,-762.60,1267.60,-391223.69
134,0.04,5.00,0.00,inf,500.00,513.01,-234.07,739.07,-120079.24
135,0.04,5.00,0.00,inf,500.00,513.01,-216.60,721.60,-111118.61
136,0.05,5.00,0.00,inf,500.00,528.89,-679.40,1184.40,-359326.99
137,0.05,5.00,0.00,inf,500.00,528.89,-297.27,802.27,-157220.98
138,0.05,5.00,0.00,inf,500.00,528.89,-519.40,1024.40,-274704.79
139,0.05,5.00,0.00,inf,500.00,528.89,-1408.87,1913.87,-745133.66
140,0.05,5.00,0.00,inf,500.00,528.89,-385.40,890.40,-203833.71
141,0.05,5.00,0.00,inf,500.00,528.89,-1375.93,1880.93,-727715.60
142,0.05,5.00,0.00,inf,500.00,528.89,-214.60,719.60,-113499.52
143,0.06,5.00,0.00,inf,500.00,528.89,-992.33,1497.33,-524833.89
144,0.06,5.00,0.00,inf,500.00,528.89,-475.00,980.00,-251222.13
145,0.06,5.00,0.00,inf,500.00,528.89,-711.00,1216.00,-376039.87
146,0.06,5.00,0.00,inf,500.00,528.89,-979.40,1484.40,-517993.60
147,0.06,5.00,0.00,inf,500.00,528.89,-1397.00,1902.00,-738857.52
148,0.06,5.00,0.00,inf,500.00,528.89,-513.13,1018.13,-271390.42
149,0.06,5.00,0.00,inf,500.00,528.89,-248.73,753.73,-131552.25
150,0.07,5.00,0.00,inf,500.00,528.89,-1367.00,1872.00,-722990.86
151,0.07,5.00,0.00,inf,500.00,523.45,-817.40,1322.40,-427864.43
152,0.07,5.00,0.00,inf,500.00,523.45,-259.27,764.27,-135711.99
153,0.07,5.00,0.00,inf,500.00,523.45,-1538.60,2043.60,-805373.39
154,0.07,5.00,0.00,inf,500.00,523.45,-819.80,1324.80,-429120.70
155,0.07,5.00,0.00,inf,500.00,523.45,-1369.53,1874.53,-716876.19
156,0.07,5.00,0.00,inf,500.00,523.45,-897.13,1402.13,-469600.49
