PV
Date,P # [W]
2014-01-01 14:10:21,-719.6
2014-01-01 14:10:22,-1497.3333333320002
2014-01-01 14:10:23,-980.0
2014-01-01 14:10:24,-1216.0
2014-01-01 14:10:25,-1484.4
2014-01-01 14:10:26,-1902.0
2014-01-01 14:10:27,-1018.133333332
2014-01-01 14:10:28,-753.733333332
2014-01-01 14:10:29,-1872.0
2014-01-01 14:10:30,-1322.4
2014-01-01 14:10:31,-764.2666666680001
2014-01-01 14:10:32,-2043.6
2014-01-01 14:10:33,-1324.8000000000002
2014-01-01 14:10:34,-1874.533333332
2014-01-01 14:10:35,-1402.133333332
2014-01-01 14:10:36,-1197.6
2014-01-01 14:10:37,-660.6666666680001
2014-01-01 14:10:38,-884.666666668
2014-01-01 14:10:39,-1461.7333333320005
2014-01-01 14:10:40,-1526.133333332
2014-01-01 14:10:41,-1955.466666668
2014-01-01 14:10:42,-775.2
2014-01-01 14:10:43,-1175.466666668
2014-01-01 14:10:44,-1486.666666668
2014-01-01 14:10:45,-1000.4
2014-01-01 14:10:46,-1879.2
2014-01-01 14:10:47,-2409.0666666680004
2014-01-01 14:10:48,-2712.4
2014-01-01 14:10:49,-2495.866666668
2014-01-01 14:10:50,-1259.866666668
2014-01-01 14:10:51,-1580.933333332
2014-01-01 14:10:52,-1468.4
2014-01-01 14:10:53,-1874.133333332
2014-01-01 14:10:54,-1296.5333333320002
2014-01-01 14:10:55,-1487.7333333320005
2014-01-01 14:10:56,-2000.133333332
2014-01-01 14:10:57,-1872.6666666680003
2014-01-01 14:10:58,-1516.5333333320002
2014-01-01 14:10:59,-2315.6
2014-01-01 14:11:00,-2056.933333332
2014-01-01 14:11:01,-2719.866666668
2014-01-01 14:11:02,-2153.0666666680004
2014-01-01 14:11:03,-2196.133333332
2014-01-01 14:11:04,-1874.933333332
2014-01-01 14:11:05,-2409.0666666680004
2014-01-01 14:11:06,-2733.2000000000003
2014-01-01 14:11:07,-2096.0
2014-01-01 14:11:08,-1107.3333333320002
2014-01-01 14:11:09,-2080.266666668
2014-01-01 14:11:10,-1159.066666668
2014-01-01 14:11:11,-781.733333332
2014-01-01 14:11:12,-2536.533333332
2014-01-01 14:11:13,-2094.8
2014-01-01 14:11:14,-2069.333333332
2014-01-01 14:11:15,-1122.133333332
2014-01-01 14:11:16,-2024.266666668
2014-01-01 14:11:17,-2655.6000000000004
2014-01-01 14:11:18,-1767.6
2014-01-01 14:11:19,-1757.6
2014-01-01 14:11:20,-2108.933333332
2014-01-01 14:11:21,-1628.0
2014-01-01 14:11:22,-1100.0
2014-01-01 14:11:23,-682.0
2014-01-01 14:11:24,-796.0
2014-01-01 14:11:25,-578.0
2014-01-01 14:11:26,-218.0
2014-01-01 14:11:27,-735.333333334
2014-01-01 14:11:28,-306.666666666
2014-01-01 14:11:29,-435.333333334
2014-01-01 14:11:30,-639.333333334
2014-01-01 14:11:31,-828.0
2014-01-01 14:11:32,-500.0
2014-01-01 14:11:33,-682.0
2014-01-01 14:11:34,-796.0
2014-01-01 14:11:35,-578.0
2014-01-01 14:11:36,-218.0
2014-01-01 14:11:37,-735.333333334
2014-01-01 14:11:38,-306.666666666
2014-01-01 14:11:39,-435.333333334
2014-01-01 14:11:40,-239.333333334
2014-01-01 14:11:41,-282.0
2014-01-01 14:11:42,-396.0
